,Compound,Negative,Neutral,Positive,Tweets Ago
0,0.1901,0.837,0.0,0.163,1
1,0.4767,0.86,0.0,0.14,2
2,0.3612,0.783,0.0,0.217,3
3,0.6652,0.692,0.0,0.308,4
4,-0.8957,0.64,0.36,0.0,5
5,0.0,1.0,0.0,0.0,6
6,0.4019,0.802,0.0,0.198,7
7,-0.2732,0.905,0.095,0.0,8
8,0.0,1.0,0.0,0.0,9
9,0.6908,0.778,0.0,0.222,10
10,-0.7579,0.679,0.264,0.057,11
11,0.1779,0.931,0.0,0.069,12
12,-0.5106,0.766,0.172,0.062,13
13,-0.25,0.913,0.087,0.0,14
14,0.0,1.0,0.0,0.0,15
15,-0.0258,0.942,0.058,0.0,16
16,0.0,1.0,0.0,0.0,17
17,0.0,1.0,0.0,0.0,18
18,0.2023,0.917,0.0,0.083,19
19,0.0,1.0,0.0,0.0,20
20,0.7783,0.625,0.0,0.375,21
21,0.0,1.0,0.0,0.0,22
22,-0.25,0.746,0.149,0.105,23
23,0.0,1.0,0.0,0.0,24
24,-0.296,0.879,0.121,0.0,25
25,-0.5719,0.812,0.188,0.0,26
26,-0.3182,0.897,0.103,0.0,27
27,0.0,1.0,0.0,0.0,28
28,0.4588,0.864,0.0,0.136,29
29,0.25,0.614,0.149,0.237,30
30,-0.2732,0.89,0.11,0.0,31
31,0.0,1.0,0.0,0.0,32
32,-0.5859,0.803,0.15,0.047,33
33,-0.4767,0.838,0.162,0.0,34
34,0.0,1.0,0.0,0.0,35
35,0.0,1.0,0.0,0.0,36
36,0.0,1.0,0.0,0.0,37
37,0.5574,0.805,0.0,0.195,38
38,0.0,1.0,0.0,0.0,39
39,0.0,1.0,0.0,0.0,40
40,0.0,1.0,0.0,0.0,41
41,0.4019,0.876,0.0,0.124,42
42,0.5423,0.791,0.0,0.209,43
43,0.0,1.0,0.0,0.0,44
44,0.0,1.0,0.0,0.0,45
45,0.5859,0.68,0.084,0.236,46
46,-0.5106,0.798,0.202,0.0,47
47,0.0,1.0,0.0,0.0,48
48,-0.296,0.855,0.145,0.0,49
49,0.0,1.0,0.0,0.0,50
50,-0.5255,0.738,0.193,0.068,51
51,-0.6486,0.791,0.209,0.0,52
52,-0.2732,0.89,0.11,0.0,53
53,0.4215,0.872,0.0,0.128,54
54,0.0,1.0,0.0,0.0,55
55,0.0959,0.759,0.114,0.128,56
56,0.0,1.0,0.0,0.0,57
57,0.1027,0.787,0.097,0.116,58
58,-0.3818,0.714,0.175,0.111,59
59,0.7506,0.714,0.0,0.286,60
60,-0.3384,0.741,0.162,0.097,61
61,0.0,1.0,0.0,0.0,62
62,0.0,1.0,0.0,0.0,63
63,-0.7096,0.763,0.237,0.0,64
64,-0.765,0.732,0.268,0.0,65
65,-0.8225,0.678,0.322,0.0,66
66,0.0,1.0,0.0,0.0,67
67,0.5719,0.837,0.0,0.163,68
68,-0.8176,0.737,0.263,0.0,69
69,0.1027,0.787,0.097,0.116,70
70,-0.5789,0.716,0.191,0.093,71
71,-0.4404,0.861,0.139,0.0,72
72,0.0,1.0,0.0,0.0,73
73,0.0,1.0,0.0,0.0,74
74,0.4019,0.876,0.0,0.124,75
75,0.2263,0.888,0.0,0.112,76
76,-0.7351,0.53,0.47,0.0,77
77,0.6124,0.84,0.0,0.16,78
78,0.5256,0.848,0.0,0.152,79
79,0.5777,0.874,0.0,0.126,80
80,-0.4019,0.816,0.184,0.0,81
81,0.1779,0.914,0.0,0.086,82
82,0.0,1.0,0.0,0.0,83
83,-0.3991,0.772,0.15,0.078,84
84,-0.5256,0.855,0.145,0.0,85
85,-0.5267,0.672,0.328,0.0,86
86,0.0,1.0,0.0,0.0,87
87,-0.3182,0.887,0.113,0.0,88
88,0.0,1.0,0.0,0.0,89
89,-0.6486,0.798,0.202,0.0,90
90,0.5023,0.817,0.0,0.183,91
91,-0.4588,0.85,0.15,0.0,92
92,-0.2641,0.648,0.199,0.153,93
93,0.0,1.0,0.0,0.0,94
94,-0.1027,0.924,0.076,0.0,95
95,-0.0516,0.826,0.091,0.083,96
96,0.2732,0.8,0.062,0.138,97
97,0.0,1.0,0.0,0.0,98
98,-0.296,0.901,0.099,0.0,99
99,-0.4019,0.881,0.119,0.0,100
